,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
2--0--2--0,60.0,97.0,60.0,71.0,60.0,74.0,505.0,1250.0,85.0,57.0
2--0--2--1,10.0,11.0,10.0,12.0,9.0,27.0,13.0,15.0,186.0,11.0
2--0--2--2,236.0,429.0,58.0,69.0,89.0,982.0,79.0,154.0,63.0,95.0
2--0--2--3,32.0,7.0,9.0,8.0,14.0,16.0,15.0,21.0,9.0,196.0
2--0--3--0,6.0,12.0,7.0,8.0,12.0,8.0,26.0,202.0,16.0,7.0
2--0--3--1,4.0,4.0,4.0,3.0,1.0,37.0,8.0,10.0,3.0,8.0
2--0--3--2,6.0,9.0,7.0,12.0,14.0,10.0,12.0,202.0,9.0,7.0
2--0--3--3,0.0,3.0,4.0,0.0,4.0,2.0,3.0,3.0,4.0,54.0
2--1--0--0,8862.0,8799.0,95501.0,8763.0,9012.0,8808.0,8791.0,8962.0,9043.0,8986.0
2--1--0--1,11.0,10.0,242.0,10.0,10.0,13.0,11.0,9.0,19.0,14.0
2--1--0--2,48.0,55.0,483.0,30.0,27.0,24.0,85.0,29.0,35.0,49.0
2--1--0--3,14.0,16.0,95.0,20.0,16.0,14.0,9.0,11.0,295.0,13.0
2--1--1--0,1140.0,24468.0,1079.0,1142.0,1174.0,1174.0,1144.0,1177.0,1122.0,1197.0
2--1--1--1,322.0,254.0,254.0,233.0,272.0,229.0,5666.0,255.0,238.0,223.0
2--1--1--2,1170.0,1106.0,1142.0,1094.0,1106.0,1102.0,1176.0,1108.0,23796.0,1127.0
