,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
1--1--3--1,23.756,26.372,17.233,18.138,21.092,16.403,17.656,26.608,15.740,20.499,,29,88,40,45,51,38,27,769,31,29,,688.94,2320.77,689.30,816.21,1075.69,623.32,476.72,20461.63,487.93,594.46
1--1--3--2,20.166,24.370,17.359,14.934,20.264,16.992,16.338,25.098,15.246,19.743,,158,350,162,174,176,153,170,3654,154,194,,3186.16,8529.57,2812.17,2598.55,3566.47,2599.75,2777.42,91708.83,2347.92,3830.20
1--1--3--3,19.796,23.582,15.221,15.729,19.602,14.436,15.308,24.284,15.420,20.332,,38,45,54,40,53,43,33,812,31,44,,752.26,1061.18,821.95,629.16,1038.93,620.74,505.16,19718.22,478.03,894.62
1--2--0--0,24.743,32.929,32.307,32.331,28.006,28.023,27.869,20.331,20.198,20.409,,5976,81587,6028,6309,5920,5956,6030,5895,6034,5904,,147865.78,2686565.80,194745.67,203977.59,165796.34,166907.46,168047.36,119852.78,121875.51,120494.54
1--2--0--1,23.714,31.550,31.047,19.004,26.804,27.106,28.647,19.592,21.498,21.332,,694,15546,658,683,723,688,683,669,691,748,,16457.18,490474.76,20428.77,12979.88,19379.51,18648.86,19565.79,13106.86,14855.19,15956.36
1--2--0--2,22.804,30.422,31.348,18.453,26.040,26.018,18.453,18.509,22.360,22.450,,12709,12743,96902,12824,12817,12754,12670,12717,12675,12851,,289813.68,387664.20,3037662.47,236635.26,333749.20,331839.72,233799.10,235378.68,283419.33,288499.57
1--2--0--3,22.068,29.555,29.558,17.385,24.975,25.035,17.400,17.199,23.623,23.542,,629,874,13634,609,619,596,586,614,611,642,,13880.62,25831.38,402989.28,10587.52,15459.69,14920.96,10196.35,10560.12,14433.93,15113.99
1--2--1--0,23.972,31.534,19.677,19.294,26.679,29.789,30.055,22.050,22.164,19.455,,1001,22024,1011,1022,1030,1268,1017,943,1083,1004,,23995.49,694501.80,19893.57,19718.77,27479.44,37772.64,30565.89,20792.83,24003.14,19533.32
1--2--1--1,22.839,30.644,17.920,17.696,25.410,28.808,18.671,21.350,24.661,20.131,,121,3384,132,138,140,245,164,153,139,158,,2763.58,103700.93,2365.44,2442.10,3557.46,7057.94,3062.12,3266.59,3427.92,3180.65
1--2--1--2,21.825,29.589,17.838,17.540,24.729,27.906,17.682,20.466,24.288,20.569,,614,13399,611,606,609,616,604,610,593,610,,13400.61,396466.86,10899.02,10629.30,15059.92,17190.06,10679.86,12484.37,14402.50,12547.08
1--2--1--3,20.488,28.322,15.431,15.822,24.210,25.998,16.611,18.743,16.855,22.381,,177,4162,187,163,196,200,152,180,160,201,,3626.45,117876.22,2885.51,2579.05,4745.22,5199.54,2524.87,3373.71,2696.85,4498.60
1--2--2--0,22.707,30.832,18.426,18.364,25.911,18.478,18.285,24.329,24.509,18.386,,4329,65716,4251,4311,4266,4143,4181,4312,4318,4247,,98299.75,2026141.60,78329.77,79165.91,110537.64,76555.71,76449.49,104905.10,105828.15,78083.41
1--2--2--1,22.179,29.575,17.287,17.362,24.929,17.809,17.679,23.443,24.861,19.464,,514,11512,504,495,497,521,541,579,485,464,,11400.21,340466.22,8712.65,8594.09,12389.63,9278.63,9564.32,13573.36,12057.58,9031.10
1--2--2--2,20.550,28.756,16.262,16.211,23.889,16.228,16.225,22.355,16.409,20.185,,3527,57550,3436,3408,3489,3492,3363,3469,3424,3373,,72480.96,1654909.24,55875.61,55245.97,83347.72,56666.93,54565.18,77549.01,56183.31,68085.14
1--2--2--3,19.753,27.561,15.584,15.324,22.989,15.652,15.681,21.220,15.600,21.335,,736,15879,690,738,693,709,731,732,717,725,,14538.09,437635.93,10753.30,11308.85,15931.38,11097.39,11462.80,15533.31,11184.88,15468.08
1--2--3--0,21.892,29.448,18.109,17.610,24.333,17.439,17.221,26.034,26.196,17.259,,313,7182,322,284,367,314,340,384,341,305,,6852.25,211498.72,5831.24,5001.13,8930.21,5475.85,5855.21,9997.17,8932.88,5263.94
1--2--3--1,20.996,28.381,15.878,17.216,23.603,15.467,17.099,25.211,17.418,17.699,,152,3670,160,173,156,159,160,145,138,149,,3191.35,104157.74,2540.46,2978.45,3682.12,2459.32,2735.90,3655.53,2403.71,2637.16
1--2--3--2,19.345,27.464,15.143,14.883,23.224,15.448,15.409,23.887,15.107,19.162,,663,15568,702,644,679,657,730,659,696,656,,12825.44,427555.93,10630.22,9584.65,15769.16,10149.08,11248.70,15741.75,10514.19,12570.35
